#options: 592x352 fps=3/1 timebase=1/3 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=3 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=2 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=3 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=8 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:119 out:121 type:b dur:2 cpbdur:2 q:36.41 aq:39.00 tex:0 mv:13 misc:147 imb:0 pmb:3 smb:811 d:s ref:0 ;
in:121 out:122 type:b dur:2 cpbdur:2 q:36.69 aq:39.00 tex:0 mv:28 misc:164 imb:0 pmb:6 smb:808 d:- ref:0 ;
in:123 out:123 type:P dur:2 cpbdur:2 q:36.20 aq:25.88 tex:8382 mv:364 misc:694 imb:5 pmb:157 smb:652 d:s ref:0 ;
in:127 out:124 type:P dur:2 cpbdur:2 q:35.79 aq:25.96 tex:11563 mv:454 misc:735 imb:6 pmb:179 smb:629 d:s ref:0 ;
in:125 out:125 type:B dur:2 cpbdur:2 q:35.99 aq:37.13 tex:261 mv:146 misc:209 imb:0 pmb:18 smb:796 d:t ref:0 ;
in:124 out:126 type:b dur:2 cpbdur:2 q:36.09 aq:39.00 tex:0 mv:28 misc:164 imb:0 pmb:6 smb:808 d:s ref:0 ;
in:126 out:127 type:b dur:2 cpbdur:2 q:35.89 aq:39.00 tex:1 mv:35 misc:172 imb:0 pmb:8 smb:806 d:- ref:0 ;
in:131 out:128 type:P dur:2 cpbdur:2 q:37.57 aq:33.91 tex:747 mv:134 misc:199 imb:1 pmb:20 smb:793 d:s ref:0 ;
in:129 out:129 type:B dur:2 cpbdur:2 q:36.68 aq:37.00 tex:1 mv:21 misc:170 imb:0 pmb:8 smb:806 d:s ref:0 ;
in:128 out:130 type:b dur:2 cpbdur:2 q:36.24 aq:39.00 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:814 d:s ref:0 ;
